"3D Max, 3D Graphics, Computer Graphics, ",Steel Block,9,(Back Side)
"4.0, Engineer Wildfire",Wooden Rack,4,(RH)
8051 Microcontroller and Embedded Systems,Wooden Rack,8,(LH)
Accounting for Mgt,Wooden Rack,2,(RH)
Active Server Pages 3.0,Wooden Rack,8,(RH)
Adaptive Filter Theory,Wooden Rack,11,(LH)
AJAX in Action,Wooden Rack,9,(RH)
Algorithms of Reinforcement Leaning,Wooden Rack,5,(RH)
Algorithms and Parallel Computing,Wooden Rack,8,(RH)
"Algorithms, Designed Analysis of Computer",Wooden Rack,11,(RH)
"Algorithms, in C++",Wooden Rack,11,(RH)
"Amplifier Analog Integrated Circuit, Operational ",Wooden Rack,5,(LH)
Analog and Digital Communication,Wooden Rack,10,(LH)
Analog Filter Design,Wooden Rack,11,(LH)
Analysis & Design of Information Systems,Wooden Rack,11,(RH)
Android in Action,Steel Block,5,(Front Side)
Antenna Theory Analysis and Design,Wooden Rack,10,(LH)
"Apache Spark, Mastering",Wooden Rack,6,(RH)
Applied / Engineering Physics,Wooden Rack,1,(LH)
Applied /Engineering Chemistry,Wooden Rack,2,(LH)
Applied Electronics,Steel Block,4,(Back Side)
Applied Mathematics By Kumbhojkar (I to IV),Steel Block,2,(Front Side)
"Arduino Cookbook, Raspberry Pai Cookbook",Steel Block,7,(Front Side)
ARM System on CHIP Architecture,Steel Block,7,(Front Side)
Artificial Intelligence,Wooden Rack,9,(LH)
ASM Handbook,Steel Block,3,(Back Side)
"ASP, Dreamweaver, Front Page, ASP.NET",Wooden Rack,8,(RH)
Assembly Language,Wooden Rack,5,(RH)
Asset Allocation,Wooden Rack,2,(RH)
"ATM Networking, MYSQL, SQL Professional",Steel Block,7,(Back Side)
Augmented Reality,Wooden Rack,12,(RH)
AUTOCAD,Steel Block,1,(Front Side)
"Automata Theory, Theory of Computational ",Steel Block,5,(Back Side)
Automobile Engineering,Wooden Rack,4,(RH)
BAD Data,Wooden Rack,6,(RH)
Basic Electrical and Electronics,Wooden Rack,3,(LH)
Bayesian Statistics,Wooden Rack,6,(RH)
Big Data Analysis/ Data Analysis,Wooden Rack,6,(RH)
Bioinformatics Programming Using,Wooden Rack,6,(RH)
Bioinformatics Programming Using Python,Wooden Rack,6,(RH)
Bitcoin,Wooden Rack,6,(RH)
"BIZTALK, XSLT, DB2, Learning PERL",Wooden Rack,8,(RH)
Blockchain,Wooden Rack,6,(RH)
Bluetooth,Steel Block,5,(Front Side)
Broad Band,Wooden Rack,6,(RH)
Building the Data Lakehouse,Wooden Rack,6,(RH)
Business Intelligence/ Digital Business/ E Business,Wooden Rack,6,(RH)
Business Marketing,Wooden Rack,3,(RH)
Business Organisation,Wooden Rack,2,(RH)
C Compiler,Wooden Rack,11,(RH)
C++ Programming,Wooden Rack,4,(LH)
"C++, Algorithms in",Wooden Rack,11,(RH)
CAD/CAM/CIM,Steel Block,1,(Front Side)
Calculous,Steel Block,3,(Front Side)
Chemical Reference Books,Steel Block,10,(Front Side)
"Chemical Technology, Encyclo",Steel Block,10,(Front Side)
Chemistry,Wooden Rack,2,(LH)
"Circuit board, Printed ",Wooden Rack,6,(LH)
Circuit Theory and Transmission Lines,Wooden Rack,5,(LH)
Circuits and Network and Synthesis,Wooden Rack,5,(LH)
"Cloud Computing/ Distributing, Security",Wooden Rack,8,(RH)
CNC Machine,Steel Block,1,(Front Side)
COBOL Programming,Wooden Rack,9,(RH)
Coding and Cryptography,Wooden Rack,7,(RH)
Cognitive Science,Wooden Rack,6,(RH)
"Com, CORBA",Wooden Rack,7,(RH)
"Combining Dataops, MLops and Devops",Wooden Rack,6,(RH)
Communication & Network Software,Steel Block,7,(Back Side)
Communication in Organisation,Wooden Rack,3,(RH)
Communication Networks,Wooden Rack,12,(LH)
Communication Skills,Wooden Rack,3,(LH)
Communication System,Wooden Rack,10,(LH)
Compiler Construction,Wooden Rack,11,(RH)
Complex Analysis,Wooden Rack,6,(RH)
"Component Based Technology, AWS Solutions",Steel Block,7,(Front Side)
"Computational Theory, Formal Language",Steel Block,5,(Back Side)
"Computer Design, System Programming ",Wooden Rack,12,(RH)
Computer Graphics and Virtual Reality Systems,Wooden Rack,12,(RH)
"Computer Network, Designing and Supporting",Steel Block,7,(Back Side)
Computer Organisation and Architecture,Steel Block,7,(Front Side)
Computer Programming,Wooden Rack,12,(RH)
"Computer Programming, Art of computer ",Wooden Rack,11,(RH)
Computer Simulation,Wooden Rack,12,(RH)
Computer Vision,Wooden Rack,5,(RH)
Concurrent Engineering in Product Design ,Wooden Rack,4,(RH)
Constitution of India,Steel Block,6,(Front Side)
Consumer Behaviour,Wooden Rack,3,(RH)
"Control System, Engineering",Steel Block,6,(Back Side)
"Cookbook, Snowflake ",Wooden Rack,6,(RH)
CORBA,Wooden Rack,7,(RH)
Cracking the Code,Wooden Rack,7,(RH)
"Crime Investigation, Computer ",Steel Block,11,(Front Side)
Cryptocurrency Investing,Wooden Rack,6,(RH)
Cryptography and Network Security,Steel Block,11,(Front Side)
"Cryptography, Coding and Techniques",Wooden Rack,7,(RH)
CUDA,Wooden Rack,5,(RH)
"Cyber Law, Cybercrime, Cyber Security",Steel Block,11,(Front Side)
Data Analysis,Wooden Rack,6,(RH)
Data Cleaning,Wooden Rack,10,(RH)
Data Communication and Networking,Wooden Rack,12,(LH)
"Data Communications, Business ",Wooden Rack,12,(LH)
Data Compression,Wooden Rack,8,(RH)
Data Engineering,Wooden Rack,6,(RH)
Data Mining and Machine Learning,Wooden Rack,10,(RH)
Data Mining for Business Analysis ,Wooden Rack,10,(RH)
Data Science,Wooden Rack,6,(RH)
Data Structure all books,Steel Block,9,(Front Side)
Data Wrangling,Wooden Rack,6,(RH)
"Database House, Life Cycle Toolkit",Wooden Rack,10,(RH)
Database mgt. Systems,Wooden Rack,10,(RH)
"Database Systems, Distributed",Wooden Rack,10,(RH)
Data warehousing,Wooden Rack,10,(RH)
"DB2, Learning PERL",Wooden Rack,8,(RH)
Decision Support System,Wooden Rack,9,(LH)
Deep Learning,Wooden Rack,5,(RH)
Demystifying Chipmaking,Wooden Rack,12,(RH)
Derivative Securities,Wooden Rack,6,(RH)
Design Data,Wooden Rack,4,(RH)
Design of Machine Elements,Wooden Rack,4,(RH)
Design Pattern,Wooden Rack,5,(RH)
Design Thinking play book,Steel Block,9,(Back Side)
Designed Analysis of Computer Algorithms,Wooden Rack,11,(RH)
Designing Data- Intensive Applications,Wooden Rack,6,(RH)
Designing with Integrated Circuits,Wooden Rack,6,(LH)
Designing with the mind in mind,Wooden Rack,7,(RH)
Devops,Wooden Rack,6,(RH)
Digital Circuit and Logic Design,Wooden Rack,5,(LH)
Digital Communication,Wooden Rack,10,(LH)
Digital Computers Memory Techniques,Wooden Rack,12,(RH)
Digital Design,Wooden Rack,6,(LH)
Digital Filter,Wooden Rack,11,(LH)
"Digital Image Processing,",Steel Block,2,(Back Side)
Digital Logic and Computer Design,Wooden Rack,6,(LH)
Digital Multimedia,Wooden Rack,12,(RH)
Digital Signal Processing,Steel Block,8,(Back Side)
Digital System Design,Wooden Rack,6,(LH)
Digital Telephony,Wooden Rack,11,(LH)
Director in a Nutshell,Wooden Rack,6,(RH)
Discrete Event Systems,Wooden Rack,12,(RH)
Discrete Mathematics,Steel Block,3,(Front Side)
Discrete Structures,Steel Block,3,(Front Side)
Discrete Time Signal Processing,Steel Block,8,(Back Side)
Discrete-Event System Simulation,Wooden Rack,11,(LH)
Django By Examples ,Wooden Rack,7,(RH)
Docker:Up & Running,Wooden Rack,6,(RH)
Dynamic and Control of Structure,Wooden Rack,4,(RH)
E-Commerce/E Business,Wooden Rack,7,(RH)
Economics,Wooden Rack,2,(RH)
Econometrics,Wooden Rack,2,(RH)
Edge Computing,Wooden Rack,5,(RH)
EJB3 Application Development,Wooden Rack,9,(RH)
Electric Circuits,Wooden Rack,5,(LH)
"Electric Drives, Fundamentals of ",Wooden Rack,12,(LH)
Electric Engineering Materials,Wooden Rack,12,(LH)
Electric Machines,Steel Block,2,(Back Side)
Electrical and Electronic Measurements,Wooden Rack,7,(LH)
Electrical Engineering Fundamentals,Steel Block,2,(Back Side)
Electrical Networks,Wooden Rack,6,(LH)
"Electrodynamics, Introduction to ",Wooden Rack,12,(LH)
Electromagnetics,Wooden Rack,7,(LH)
Electronic Circuit Analysis and Design,Wooden Rack,5,(LH)
"Electronic Circuit, Fabrication",Wooden Rack,5,(LH)
Electronic communication System,Wooden Rack,10,(LH)
Electronic Devices and circuits,Steel Block,4,(Back Side)
Electronic Instrumentation,Wooden Rack,7,(LH)
Electronic Product Design,Wooden Rack,12,(LH)
"Electronics in Industry, Projects",Wooden Rack,12,(LH)
"Electronics, Principles of ",Wooden Rack,12,(LH)
"Embedded Systems, Embedded Software etc ..",Steel Block,9,(Front Side)
Engineering Drawing,Wooden Rack,2,(LH)
Engineering Ethics,Wooden Rack,3,(RH)
Engineering Mathematics,Steel Block,4,(Front Side)
"Engineering Mathematics, Higher ",Steel Block,4,(Front Side)
Engineering Mechanics,Wooden Rack,3,(LH)
Environmental Science /studies,Wooden Rack,2,(LH)
Ergonomics,Wooden Rack,3,(RH)
ERP,Wooden Rack,3,(RH)
Error- Control Coding,Wooden Rack,7,(RH)
"Ethereum, Building ",Wooden Rack,6,(RH)
"EXCEI 2007, MS-Office 97",Wooden Rack,8,(RH)
Festo,Wooden Rack,2,(RH)
File Organisation and Processing,Wooden Rack,7,(RH)
"Financial Mgt, Interviews",Wooden Rack,2,(RH)
"Financial Systems, Indian Economy ",Wooden Rack,2,(RH)
Finite Elements,Steel Block,1,(Front Side)
"Fluid Dynamics, Computational",Steel Block,1,(Front Side)
Fluid Mechanics and Fluid Machines,Steel Block,1,(Front Side)
Fluid Power Technology/ Fluid Power,Steel Block,1,(Front Side)
For the Win,Wooden Rack,6,(RH)
"Formal Language, Computational Theory",Steel Block,5,(Back Side)
Foundry Technology,Steel Block,1,(Back Side)
Fuzzy Logic,Wooden Rack,9,(LH)
"Game Programming, Game Architecture",Wooden Rack,6,(RH)
Gamification,Wooden Rack,6,(RH)
GATE (Mechanical /Production),Steel Block,1,(Front Side)
GATE Chemical Engineering,Steel Block,10,(Front Side)
GATE: Computer and IT,Wooden Rack,12,(RH)
Gear Design,Wooden Rack,4,(RH)
Geometry,Steel Block,3,(Front Side)
Geospatial Analysis,Wooden Rack,6,(RH)
Geospatial Data Science with ,Wooden Rack,6,(RH)
Geospatial Data Science with Python,Wooden Rack,6,(RH)
Google App,Wooden Rack,5,(RH)
"GPS (Convergence & Architecture), IP",Steel Block,7,(Back Side)
Grant Writing,Wooden Rack,6,(RH)
"Graph Theory, ",Steel Block,11,(Front Side)
"Graph Theory, ",Steel Block,9,(Back Side)
"Graphics, 3D Ma",Steel Block,9,(Back Side)
GRID Computing,Wooden Rack,8,(RH)
GST,Wooden Rack,2,(RH)
Guide Tour of Relational Database and Beyond,Wooden Rack,10,(RH)
"HADOOP, SEO",Steel Block,5,(Back Side)
Handbooks - Production & Mechanical ,Steel Block,3,(Back Side)
Hands on Introduction to LabVIEW ,Wooden Rack,12,(RH)
Hands on Time Series,Wooden Rack,6,(RH)
Hard Disk Drive,Wooden Rack,12,(RH)
High Performance Computing Scientists and Engineers,Wooden Rack,8,(RH)
High Voltage Engineering,Wooden Rack,4,(RH)
Human and Computer Interaction Design,Wooden Rack,12,(RH)
Human and Machine Interaction Design,Wooden Rack,12,(RH)
Human Resources,Wooden Rack,3,(RH)
Human Values,Steel Block,6,(Front Side)
Hydraulics and Pneumatic,Wooden Rack,2,(RH)
Hydraulics of Fluid Mechanics,Steel Block,1,(Front Side)
IBM Books,Steel Block,6,(Front Side)
"IBMPC and Clones, Digital Computers",Wooden Rack,12,(RH)
Indian Banking Sector,Wooden Rack,2,(RH)
Indian Economy,Wooden Rack,2,(RH)
Industrial Electronics,Wooden Rack,12,(LH)
Industrial Engineering and Mgt,Wooden Rack,3,(RH)
Industrial Instrumentation,Wooden Rack,3,(RH)
Industrial Organic Chemicals,Steel Block,10,(Front Side)
Industrial Organisation Engineering Economics,Wooden Rack,3,(RH)
Industry 4.0,Wooden Rack,6,(RH)
"Information Networking, Communication",Wooden Rack,12,(RH)
Information Retrieval/ Systems,Wooden Rack,11,(RH)
Information Storage and Retrieval,Wooden Rack,11,(RH)
"Information Technology, IT Projects Mgt",Wooden Rack,11,(RH)
Injection Mould Design,Wooden Rack,4,(RH)
Instrumentation Engineering,Wooden Rack,7,(LH)
Instrumentation Technology,Steel Block,6,(Back Side)
"Instrumentation, Digital",Wooden Rack,7,(LH)
Intel Microprocessor,Wooden Rack,8,(LH)
Intellectual Property Rights,Wooden Rack,5,(RH)
Internal Combustion Engines,Wooden Rack,4,(RH)
"Internet Security, Firewall, VPN",Steel Block,11,(Front Side)
"Internet, Technology ",Wooden Rack,6,(RH)
Inventory,Wooden Rack,3,(RH)
IOT(Internet of Things),Wooden Rack,6,(RH)
ISO,Wooden Rack,3,(RH)
"J2ME, J2EE",Wooden Rack,9,(RH)
JAVA and CORBA,Wooden Rack,7,(RH)
JAVA Programming (All Books),Wooden Rack,9,(RH)
Jen Kins,Wooden Rack,6,(RH)
Jigs and Fixture,Steel Block,1,(Front Side)
KAFKA,Wooden Rack,6,(RH)
Kinematics,Steel Block,1,(Front Side)
Kubernet and Dockers,Wooden Rack,6,(RH)
LabVIEW for Scientist and Engineers ,Wooden Rack,12,(RH)
Learning Spark,Wooden Rack,6,(RH)
Let us C,Wooden Rack,4,(LH)
Linear Algebra,Steel Block,3,(Front Side)
Linear Circuit Analysis,Wooden Rack,6,(LH)
Linear Integrated Circuit,Steel Block,4,(Back Side)
"LINUX, RED HAT LINUX, UNIX",Wooden Rack,7,(RH)
Logic Design,Wooden Rack,6,(LH)
"Logic Design, Computer Aided",Wooden Rack,12,(RH)
Machine Design/Tool Design,Wooden Rack,4,(RH)
Machine Drawing,Wooden Rack,2,(LH)
Machine Learning,Wooden Rack,5,(RH)
"Machine learning Flow, Beginning MLOps with",Wooden Rack,5,(RH)
Machine Learning for Programmers,Wooden Rack,11,(RH)
Machine Learning in Cybersecurity,Wooden Rack,5,(RH)
Machine Learning With R/Action/Using Python,Wooden Rack,5,(RH)
Machine Tool Design,Steel Block,1,(Back Side)
Machinery Safety,Wooden Rack,4,(RH)
Makeover Monday,Wooden Rack,6,(RH)
"Management, Managerial Skills / Quality",Wooden Rack,3,(RH)
Manufacturing Technology,Steel Block,3,(Back Side)
Mathematical Methods for Scientist and Engineers,Steel Block,4,(Front Side)
Mathematical Statistics,Steel Block,4,(Front Side)
Mathematics,Steel Block,3,(Front Side)
MATLAB Codes for Finite Elements,Steel Block,1,(Front Side)
MATLAB for Mechanical Engineers,Wooden Rack,4,(RH)
MATLAB for Mechanical Engineers,Wooden Rack,4,(RH)
"MATLAB Programming, Book on MATLAB",Steel Block,9,(Back Side)
"MATLAB Programming, Related Book ",Steel Block,9,(Back Side)
"MCSE, IEX & YAAC, PHP, Print Shop",Wooden Rack,8,(RH)
"MCSE, IEX & YAAC, PHP, Print Shop",Wooden Rack,8,(RH)
ME Section,Steel Block,8,(Front Side)
Measurement Systems,Wooden Rack,7,(LH)
Mechanical Engineering-Operations/Vibrations,Wooden Rack,4,(RH)
Mechanical Metallurgy,Steel Block,3,(Back Side)
Mechanics of Materials,Wooden Rack,1,(RH)
Mechatronics,Wooden Rack,9,(LH)
Machine Component Design,Steel Block,1,(Back Side)
Memory Systems and Pipeline Processors,Steel Block,5,(Back Side)
Merchant Banking,Wooden Rack,2,(RH)
"Metal Casting, Cutting, Forming, Fabrication",Steel Block,1,(Back Side)
"Metallurgy, Physical ",Steel Block,3,(Back Side)
Metrology and Measurement,Steel Block,3,(Back Side)
Microfinance,Wooden Rack,2,(RH)
Microprocessor -Architecture Programming,Wooden Rack,8,(LH)
"Microprocessors, Embedded",Wooden Rack,8,(LH)
"Microservices, Building ",Wooden Rack,6,(RH)
Microwave Circuit Design,Wooden Rack,6,(LH)
Microwave Devices and circuits,Wooden Rack,5,(LH)
Microwave Engineering,Wooden Rack,7,(LH)
"Middleware, EJB, AJAX, STRUTS, SPRING",Steel Block,5,(Back Side)
Mining of Massive Datasets,Wooden Rack,10,(RH)
MLOps with Machine Learning Flow,Wooden Rack,5,(RH)
Mobile and Remote Computers,Wooden Rack,12,(RH)
Mobile Communication,Wooden Rack,11,(LH)
Mobile Computing/ Design,Wooden Rack,12,(RH)
Modern Communication circuits,Steel Block,4,(Back Side)
Modern Digital Electronics,Wooden Rack,6,(LH)
Mongo DB,Wooden Rack,5,(RH)
Multimedia Database System,Wooden Rack,12,(RH)
"Multimedia PC, Troubleshooting Your ",Wooden Rack,12,(RH)
Nano Materials,Wooden Rack,1,(RH)
Natural Language Processing,Wooden Rack,5,(RH)
Network Systems,Wooden Rack,6,(LH)
Neural Network,Wooden Rack,9,(LH)
"Neural systems, Artificial ",Wooden Rack,9,(LH)
Neuro Fuzzy and soft computing,Wooden Rack,9,(LH)
"Neuroscience, Computational",Wooden Rack,6,(RH)
Non Destructive Testing,Steel Block,1,(Front Side)
Non-Linear Programming,Wooden Rack,12,(RH)
Novels and Story Books,Steel Block,12,(Back Side)
Numerical Methods,Steel Block,3,(Front Side)
Object Oriented programming. System development,Steel Block,5,(Back Side)
Op-Amps and Linear Integrated Circuits,Wooden Rack,5,(LH)
Operating Systems,Steel Block,5,(Front Side)
"Operating Systems, Distributed",Steel Block,5,(Front Side)
Operation Research,Wooden Rack,2,(RH)
Optical Fiber Communication,Wooden Rack,11,(LH)
Oracle,Steel Block,9,(Front Side)
Pattern Recognition,Wooden Rack,5,(RH)
"PC Hardware, Undocumented PC",Wooden Rack,12,(RH)
"PERL, Learning ",Wooden Rack,8,(RH)
Pervasive Computing,Wooden Rack,6,(RH)
Photonics ,Wooden Rack,11,(LH)
Physics,Wooden Rack,1,(LH)
Plastic Engineering,Steel Block,1,(Front Side)
Plastics in Paking/ Plastic Materials,Steel Block,1,(Front Side)
Plumbing Engineering,Wooden Rack,4,(RH)
Power Electronics,Steel Block,6,(Back Side)
"Power Systems Analysis, Computer Methods in ",Wooden Rack,12,(RH)
Predictive Analysis,Wooden Rack,6,(RH)
Press Tool Design ,Wooden Rack,4,(RH)
Pro MERN Stack,Wooden Rack,5,(RH)
Probabilistic Graphics,Wooden Rack,5,(RH)
Probability and Statistics,Steel Block,3,(Front Side)
Process Control Instrumentation Technology,Steel Block,6,(Back Side)
Product Design,Wooden Rack,4,(RH)
Product Development,Wooden Rack,3,(RH)
Product Engineering,Steel Block,1,(Front Side)
"Product Engineering, System",Wooden Rack,4,(RH)
Production Engineering Science,Wooden Rack,2,(RH)
Production Planning and Control,Wooden Rack,2,(RH)
Production Technology,Wooden Rack,2,(RH)
Professional Ethics,Wooden Rack,3,(RH)
Programmatic Al,Wooden Rack,5,(RH)
Programming in C,Wooden Rack,4,(LH)
"Programming Methodology, Object-Oriented ",Steel Block,5,(Back Side)
Programming through Lambda Calculus,Steel Block,5,(Back Side)
Programming Using Scala,Wooden Rack,5,(RH)
"Programming, Linear and Integer ",Steel Block,5,(Back Side)
"Project Mgt, Mgt Information Systems",Wooden Rack,11,(RH)
"PROLOG ROS, Logic Programming with",Steel Block,7,(Front Side)
"PROLOG, Programmable Logic Controller, for AI",Wooden Rack,12,(RH)
"Prototyping, Rapid ",Steel Block,1,(Front Side)
Pulse Digital and Switching Wave Forms ,Wooden Rack,6,(LH)
Pump ,Wooden Rack,4,(RH)
"PYTHON, HADOOP, SEO",Steel Block,5,(Back Side)
"Python, Machine Learning Using ",Wooden Rack,5,(RH)
"Python, Reinforcement Learning with ",Wooden Rack,5,(RH)
Quality Planning & Analysis ,Wooden Rack,3,(RH)
Quantitative Technology ,Wooden Rack,2,(RH)
Quantum Computing ,Wooden Rack,6,(RH)
"R Programming, Cookbook ",Wooden Rack,5,(RH)
RaspBerry Pai Cookbook ,Steel Block,7,(Front Side)
RE Engineering ,Steel Block,1,(Back Side)
Real Analysis ,Steel Block,3,(Front Side)
Real Time systems ,Steel Block,8,(Back Side)
Reliability Engineering ,Steel Block,1,(Back Side)
Reality+ ,Wooden Rack,12,(RH)
Recommender System ,Wooden Rack,5,(RH)
Refrigeration and Air Conditioning,Wooden Rack,1,(RH)
Reinforcement Learning,Wooden Rack,5,(RH)
Relational Database,Wooden Rack,10,(RH)
Research Methodology,Wooden Rack,2,(RH)
Reverse Engineering,Wooden Rack,4,(RH)
RF circuit Design,Wooden Rack,5,(LH)
Risk Mgt and Financial Institutions,Wooden Rack,2,(RH)
Robotic Programming,Steel Block,7,(Front Side)
Robotics,Wooden Rack,9,(LH)
SAMS Teach Yourself,Wooden Rack,9,(RH)
SAP,Wooden Rack,8,(RH)
Satellite Communications,Wooden Rack,11,(LH)
"Satellite, Digital ",Wooden Rack,11,(LH)
SCILAB,Wooden Rack,7,(RH)
Security and Privacy Paradigm,Wooden Rack,6,(RH)
"Security in Computing, Infrastructure security",Wooden Rack,8,(RH)
Semi Conductor Devices,Wooden Rack,11,(LH)
Sensor and Transducers,Wooden Rack,6,(RH)
Serial Port,Wooden Rack,10,(LH)
Server Computing/Parallel/Processing,Wooden Rack,8,(RH)
Service Oriented Architecture,Wooden Rack,5,(RH)
Signal and System,Wooden Rack,6,(LH)
Silicon VLSI Technology,Wooden Rack,5,(LH)
"Simulation and Modelling, Computer",Wooden Rack,12,(RH)
Snaping Organisational Strategies,Wooden Rack,7,(RH)
Snowflake Cookbook,Wooden Rack,6,(RH)
Social Media & Mobile Marketing,Wooden Rack,12,(RH)
Social Media Mining,Wooden Rack,10,(RH)
Social Network Analysis,Wooden Rack,5,(RH)
"Soft Computing, Green Computing",Wooden Rack,8,(RH)
Software Project Mgt,Wooden Rack,11,(RH)
"Software Testing, Software Architecture",Steel Block,7,(Front Side)
Solid Mechanics,Steel Block,1,(Front Side)
Solid State Material,Wooden Rack,1,(RH)
Solid State Pulse circuits,Wooden Rack,6,(LH)
Spatial Data Analysis,Wooden Rack,6,(RH)
Speech Processing Language,Wooden Rack,5,(RH)
Spring in Action,Wooden Rack,9,(RH)
SQL Server,Steel Block,7,(Front Side)
"SQL, MYSQL, SQL Professional",Steel Block,7,(Back Side)
Structured Analysis,Steel Block,1,(Back Side)
"Statistical Learning, Hypotheses",Wooden Rack,5,(RH)
Statistics and Calculus with Python workshop,Wooden Rack,6,(RH)
Statistics for Data Scientist,Wooden Rack,6,(RH)
Statistics for Mgt,Wooden Rack,2,(RH)
"Statistics, Bayesian",Wooden Rack,6,(RH)
Stochastic Processes,Wooden Rack,6,(RH)
Strategy & Business Landscape,Wooden Rack,3,(RH)
Strength of Material,Wooden Rack,1,(RH)
Structured programming approach ,Wooden Rack,4,(LH)
Struts,Wooden Rack,9,(RH)
Supply Chain Mgt,Wooden Rack,3,(RH)
System Design,Wooden Rack,6,(LH)
"System Development, Object-Oriented ",Steel Block,5,(Back Side)
"System Programming, Logic and Computer ",Wooden Rack,12,(RH)
Systems Analysis and Design,Wooden Rack,6,(LH)
Systems and Web Security,Wooden Rack,7,(RH)
"Tableau, Practical ",Wooden Rack,5,(RH)
Taguchi Techniques for Quality Engineering,Wooden Rack,3,(RH)
"TCP/IP, Designing and Supporting",Steel Block,7,(Back Side)
Telemetry Principles,Wooden Rack,12,(LH)
Television Practice,Wooden Rack,10,(LH)
"Television, Colour",Wooden Rack,10,(LH)
Theory of Machines,Wooden Rack,4,(RH)
Theory of Mechanisms and Machines,Wooden Rack,4,(RH)
Theory of Numbers,Steel Block,3,(Front Side)
Theory of Structures,Wooden Rack,1,(RH)
Thermal and Fluid Power Engineering,Steel Block,1,(Front Side)
Thermal Engineering,Wooden Rack,1,(RH)
Thermodynamics,Wooden Rack,1,(RH)
Time Series Database/Analysis with Python,Wooden Rack,6,(RH)
Tool Design,Steel Block,1,(Back Side)
Total Quality in Research and Development,Wooden Rack,3,(RH)
TQM,Wooden Rack,3,(RH)
Transducers and Instrumentation,Wooden Rack,7,(LH)
UML,Steel Block,5,(Back Side)
User Interface Design,Wooden Rack,7,(RH)
"Vector Analysis, Calculus",Steel Block,3,(Front Side)
VHDL,Steel Block,5,(Front Side)
Video and Cable Television,Wooden Rack,10,(LH)
"Virtual Reality Systems, Computer Graphics",Wooden Rack,12,(RH)
"Visual Basic.NET, Visual Basic Programming",Steel Block,9,(Back Side)
Visualizing Streaming Data,Wooden Rack,6,(RH)
"VLSI Circuits and Systems, Technology",Wooden Rack,5,(LH)
Wave Shaping Techniques,Wooden Rack,7,(LH)
Web Data Mining,Wooden Rack,10,(RH)
Web Development with Python,Steel Block,5,(Back Side)
Web Developments/ Application/ Web World,Wooden Rack,7,(RH)
Website Optimization,Wooden Rack,7,(RH)
Welding Technology,Steel Block,1,(Back Side)
Window Azure/ Professional 2000,Wooden Rack,8,(RH)
Wireless Communication,Wooden Rack,11,(LH)
Work Study,Wooden Rack,3,(RH)
Workshop Technology,Steel Block,1,(Back Side)
Wp. Bluetooth and 3G Programming,Wooden Rack,7,(RH)
"XML, HTML, Web Design with HTML",Steel Block,5,(Front Side)
